"location_name","meal_type","item_name","dietary_traits","serving_size","calories","total_fat","saturated_fat","trans_fat","cholesterol","sodium","total_carbohydrate","dietary_fiber","total_sugars","protein","calcium","iron","potassium"
"Four Lakes Market","breakfast","Vegan Blueberry Smoothie","soy, corn","1 each","140","1.9g","0.3g","0g","0mg","42mg","26g","5g","17g","4g","311mg","1.3mg","297mg"
"Four Lakes Market","breakfast","Hot Cereal - Pumpkin Spice Quinoa","corn","1 serving","278","2.1g","0.4g","0g","0mg","74mg","51g","4g","13g","7g","63mg","3.1mg","436mg"
"Four Lakes Market","breakfast","Scrambled Eggs","egg, corn","1 4 oz","253","19g","4.6g","0g","600mg","200mg","1g","0g","1g","19g","0mg","0mg","172mg"
"Four Lakes Market","breakfast","Blueberry Pancakes (1)","dairy, egg, wheat","1 3 oz","174","8g","3.9g","0g","74mg","385mg","21g","1g","5g","5g","50mg","1mg","65mg"
"Four Lakes Market","breakfast","Hard Cooked Egg","egg","1 each","45","2.8g","1.1g","0g","118mg","45mg","0g","0g","0g","4g","23mg","0.6mg","0mg"
"Four Lakes Market","breakfast","Hashbrowns","corn","1 4 oz","245","18g","1.3g","0g","0mg","581mg","18g","2g","1g","2g","0mg","0.4mg","344mg"
"Four Lakes Market","breakfast","Pork Sausage Links","corn","1 2 each","200","20g","7g","0g","40mg","320mg","0g","0g","0g","6g","0mg","0mg","0mg"
"Four Lakes Market","breakfast","Turkey Sausage Links","corn","1 2 each","109","8g","2g","0g","40mg","288mg","1g","0g","1g","10g","20mg","1mg","308mg"
"Four Lakes Market","breakfast","Veggie Sausage Patty (VN)","wheat, soy, corn","1 1","100","5g","0g","0g","0mg","410mg","5g","2g","1g","9g","40mg","1.4mg","210mg"
"Four Lakes Market","breakfast","Watermelon Slices","","1 slice","34","0.2g","0g","0g","0mg","1mg","9g","1g","7g","1g","8mg","0.3mg","127mg"
"Four Lakes Market","breakfast","Cream Of Wheat (VN)","wheat","1 6 oz","58","0g","0g","0g","0mg","122mg","11g","1g","0g","2g","102mg","4.4mg","2mg"
"Four Lakes Market","breakfast","Build Your Own Yogurt Bar","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Four Lakes Market","breakfast","Glazed Ring Donut","dairy, egg, wheat","1 each","270","12g","5g","0g","0mg","280mg","37g","1g","18g","4g","10mg","1.3mg","50mg"
"Four Lakes Market","breakfast","Iced Chocolate Donut Ring","dairy, egg, wheat","1 each","350","18g","9g","0g","15mg","490mg","43g","1g","20g","4g","20mg","1.6mg","110mg"
"Four Lakes Market","breakfast","Raspberry Filled Iced Donut","dairy, egg, wheat","1 each","330","16g","8g","0g","0mg","360mg","41g","1g","13g","4g","10mg","1.5mg","70mg"
"Four Lakes Market","breakfast","Popcake Pancake","dairy, egg, wheat","1 each","42","0.6g","0.3g","0g","9mg","31mg","8g","0g","3g","1g","81mg","0.4mg","0mg"
"Four Lakes Market","breakfast","Banana Bread (VN)","wheat, corn","1 each","190","7g","0.5g","0g","0mg","176mg","31g","1g","15g","2g","4mg","0.9mg","77mg"
"Four Lakes Market","breakfast","Muffin Mini Blueberry","dairy, egg, wheat","1 each","95","2.3g","0.4g","0g","6mg","63mg","18g","0g","7g","1g","18mg","0.3mg","15mg"
