Restaurant Name,Address,Days Open,Menu Items Count
Sunset Lounge,"Memorial Union, 800 Langdon St.",0,13
Strada,"Memorial Union, 800 Langdon St.",7,19
Carte,"Memorial Union, 800 Langdon St.",0,17
Der Rathskeller,"Memorial Union, 800 Langdon St.",7,17
Daily Scoop in Memorial Union,"Memorial Union, 800 Langdon St.",7,17
Naan Stop Express,"Medical Sciences, 1300 University Ave.",7,15
Badger Market in Memorial Union,"Memorial Union, 800 Langdon St.",7,16
South Cantina,"Union South, 1308 W. Dayton St.",0,17
Peet's Coffee,"Memorial Union, 800 Langdon St.",7,16
Harvest Grains,"Union South, 1308 W. Dayton St.",0,17
Daily Scoop in Union South,"Union South, 1308 W. Dayton St.",0,15
Ginger Root,"Union South, 1308 W. Dayton St.",0,17
Prairie Fire,"Union South, 1308 W. Dayton St.",7,17
Capital Café,"Grainger Hall, 975 University Ave.",7,18
Robin's Nest,"School of Human Ecology Building, 1300 Linden Dr.",7,15
Badger Market in Biochemistry,"Biochemistry , 440 Henry Mall",0,15
Badger Market in Health Sciences Learning Center,"Health Sciences Learning Center, 750 Highland Ave.",7,15
Badger Market in Medical Sciences,"Medical Sciences, 1300 University Ave.",0,15
Badger Market in Ingraham,"Ingraham Hall, 1155 Observatory Dr.",7,15
Badger Market in Union South,"Union South, 1308 W. Dayton St.",7,15
Crossroads Café,"School of Education, 1000 Bascom Mall",0,15
Badger Market in Veterinary Medicine,"School of Veterinary Medicine, 515 Easterday Lane",7,15
Microcosm Café,"Microbial Sciences Building, 1550 Linden Dr.",7,15
Badger Market in Engineering,"Engineering Hall, 1415 Engineering Dr.",0,15
Open Book Café,"College Library, 600 N. Park St.",7,15
Sett Pub,"Union South, 1308 W. Dayton St.",7,17
Der Stiftskeller,"Memorial Union, 800 Langdon St.",0,17
Revive,"School of Nursing Building, 701 Highland Ave.",0,15
Sett Recreation,"Union South, 1308 W. Dayton St.",7,19
Lakeview Lounge,"Memorial Union, 800 Langdon St.",0,17
The Brat Stand,"Memorial Union, 800 Langdon St.",0,13
Union Commons,"University Club, 803 State St",0,11
Terrace Store at Lakeview Lounge,"Memorial Union, 800 Langdon St.",0,10
Chazen Café,"Chazen Museum of Art, 750 University Avenue",7,16
BBQ Stand,"Memorial Union, 800 Langdon St.",0,13
Acai & More,"Wisconsin Institute For Discovery (WID), 330 N Orchard St",0,9
Smitty's Study Pub,"Fluno Center, 601 University Avenue",7,14
Oros Executive Dining Room,"Fluno Center, 601 University Avenue",0,6
